UID,Name of Industrial Estate,District,Name of allootte Unit,Plot Number,Sector,Area at the time of allotment in Sq. Mtr.,Area at the time of Possession in Sq. Mtr.,Geometric Area,Constitution of Organization (Limited,Nature of Project,Proposed Product,PCB Category,Plot Status ,Proposed Investment (in cr.),Proposed Employment at time of allotment,Employment UK,email ID,Contact Number,Date of Allotment,Lease Deed,Lease Deed Date,Possession,Possession Date,Comment,Plot Status Date,Occupancy Certificate,Time Extension1,Time Extension1 Date,Time Extension Last,Time Extension Last Date,Land Use,Land Cost (per sq.m.),Maintenance cost towards common services (cost paid),Ref. No. - Layout Plan Approval from SIDA,Ref. No.- Building Plan Approval from SIDA,Whether industry is through FDI,Registration for SSI / EM1 / EM2 / UAM / IEM / SIA (Please select any one option),SSI / EM1 / EM2 / UAM / IEM / SIA,Subsidy From State Govt (Nil in case of No Subsidy) (in cr.),Policy under which the unit is established,Provide the name of Other Policy,NIC 5 Digit Code (as per NIC Code 2008),Women Entrepreneur,Electricity Connection,Electricity Supplier,Backup Electricity,Diesel Generator,CETP Connection,Water Connectiopn,Source of Water ,Time of Water Supply,Solid Waste Collection ,Time of Solid Waste Collection,Solar Panel,Rain Water Hasrvesting,Parking,Energy efficient fixtures,Energy Management Systems,Incubation Centre Provided,Warehouse ,Green Building,Gas Pipeline,Fire Extinguishing System,OH&S,Regulatory Authority (Property),Property Tax Payable,Regulatory AuthorityWater,Water Tax Payable,Regulatory Authority Environmental,Environmentall/Pollution Tax Payable,Total Tax payable (Rs.),Expenditure of Industry (p.a.)(Rs.),Revenue from Plots (p.a.)(Rs.),Permanent Male Employees,Permanent Female Employees,Permanent Total Employees,Contractual Male Employees,Contractual Female Employees,Contractual Total Employees,Differentally Abbled Employee,Skilled Male Employees,Skilled Female Employees,Skilled Total Employees,Semi-Skilled Male Employees,Semi-Skilled Female Employees,Semi-Skilled Total Employees,Unskilled Male Employees,Unskilled Female Employees,Unskilled Total Employees,Local Resident Male Employees,Local Resident Female Employees,Local Resident Total Employees,"Programme for skill training of employees. (Programme name, number of people trained, Month and Year of training","Harassment Prevention and Redressal (Harassment redressal team,","Sexual harassment redressal team, transport provision for women)","Community Dialogue (Website, Media Release, News Bulletin, Social Media, Other)","Community services such as drinking water supply, water harvesting, health camps etc.","Outreach activities: CSR Activities/ Clean up drives, health camp, public service activities etc.",Pollution Clearance,Date of pollution clearance taken by industry,Date of expiry of pollution clearance,Type of Emission,Air pollution- emission quality data,Reduction of Emission-Measures taken and compliance for air pollution control,"Air pollution monitoring system (online and offline monitoring, lab facilities, data display","facilities, data reporting systems )",Noise pollution data (as per regulatory authority),Whether EIA needed and done?,ISO Certification,"Green Building Certification IGBC, BREEA, LEED, DGNB)",Pre-assessment for Gold Rating,"Design of building (Passive Design, Building Orientation)",Record of major trees within plot,Any green measures taken up by industry,Incentives/ grants for greening industry/ resource efficiency etc.,Any National/ International Certification,(Mention Year of Certification),Property Tax payable (in Rs.),Regulatory Authority(property)
MOH_1_E5,SIDC Mohan,Almora,-,E5,,,,1244.74,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_E6,SIDC Mohan,Almora,-,E6,,,,1238.03,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_E7,SIDC Mohan,Almora,-,E7,,,,1233.8,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F1,SIDC Mohan,Almora,-,F1,,,,810.609,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F10,SIDC Mohan,Almora,-,F10,,,,772.619,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F11,SIDC Mohan,Almora,-,F11,,,,900.333,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F12,SIDC Mohan,Almora,-,F12,,,,742.907,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F13,SIDC Mohan,Almora,-,F13,,,,1156.74,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F14,SIDC Mohan,Almora,-,F14,,,,822.971,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F15,SIDC Mohan,Almora,-,F15,,,,1009.73,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F16,SIDC Mohan,Almora,-,F16,,,,1006.92,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F17,SIDC Mohan,Almora,-,F17,,,,877.824,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F18,SIDC Mohan,Almora,-,F18,,,,864.591,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F19,SIDC Mohan,Almora,-,F19,,,,973.687,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F2,SIDC Mohan,Almora,-,F2,,,,757.267,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F20,SIDC Mohan,Almora,-,F20,,,,585.206,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F21,SIDC Mohan,Almora,-,F21,,,,961.769,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F3,SIDC Mohan,Almora,-,F3,,,,718.401,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F4,SIDC Mohan,Almora,-,F4,,,,699.553,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F5,SIDC Mohan,Almora,-,F5,,,,719.334,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F6,SIDC Mohan,Almora,-,F6,,,,759.72,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F7,SIDC Mohan,Almora,-,F7,,,,681.314,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F8,SIDC Mohan,Almora,-,F8,,,,775.177,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_F9,SIDC Mohan,Almora,-,F9,,,,735.807,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_OPEN SPACE,SIDC Mohan,Almora,-,OPEN SPACE,,,,1244.3,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_OPEN SPACE,SIDC Mohan,Almora,-,OPEN SPACE,,,,5948.72,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH_1_RESERVED OPEN SPACE,SIDC Mohan,Almora,-,RESERVED OPEN SPACE,,,,5352.91,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,IIE Haridwar,Haridwar,-,Logistics Hub SIDCUL PARKING,,,,34619.3,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,IIE Haridwar,Haridwar,-,BHEL STAFF QRTS.,,,,9305.92,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,IIE Haridwar,Haridwar,-,RAOWLI MEHDOOD,,,,27004.6,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,IIE Haridwar,Haridwar,-,42,,,,8001.38,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,IIE Haridwar,Haridwar,-,KABRISTHAN,,,,6673.02,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,IIE Haridwar,Haridwar,-,KABRISTHAN,,,,2572.32,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_ _A,IIE Pantnagar, Udham Singh Nagar,-,A,,,,191449,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_ _B,IIE Pantnagar, Udham Singh Nagar,-,B,,,,191489,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_ _Housing,IIE Pantnagar, Udham Singh Nagar,-,Housing,,,,107873,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_1,IIE Pantnagar, Udham Singh Nagar,Britannia Indstries ltd,1,1,79200,79200,80205.4,Company Public Ltd.,Other,Biscuits & Other Food products,Green,In Production,53.5,700,523,"rprunimax@hotmail.com, info@maxscaffolding.com","98,105,984,309,837,600,000",3-Feb-04,Yes,20-Jun-05,No,,,1-Apr-06,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_1A,IIE Pantnagar, Udham Singh Nagar,Nestle India Limited,1A,1,98400,98400,97155.9,Company Public Ltd.,Other,Culinary Product and other Processed Foods,Green,In Production,103.21,700,589,himanshu.joshi@in.nestle.com,9544675398,27-Jul-05,Yes,27-Dec-05,Yes,12-Apr-06,,1-Jul-06,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_2A,IIE Pantnagar, Udham Singh Nagar,LANCER FOOD PRODUCTS,2A,1,29250,29250,29408.1,Partnership,Export Oriented,BISCUITS COOKIES CONFECTIONERY,Orange,In Production,7.14,70,50,"lancerfoods@gmail.com,rajendra@lancerfoods.com, info@lancerfood.com",9810023333,16-Sep-04,Yes,6-Dec-07,Yes,14-Aug-06,,17-Apr-09,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_2B,IIE Pantnagar, Udham Singh Nagar,HALDIRAM SNACK PVT LTD,2B,1,42900,42900,42199.3,Company Pvt. Ltd.,Other,"Mgf. Sweet meats, snacks, namkeens, packagig and for opening a company outlet, etc.",Green,In Production,36.31,347,247,snacksrudrapur@haldiram.com,9639613271,15-Apr-04,Yes,16-Sep-05,Yes,21-Aug-04,,15-Mar-10,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_3,IIE Pantnagar, Udham Singh Nagar,Parle Biscuits Pvt Ltd,3,1,52500,52800,53187.1,Company Pvt. Ltd.,Other,Biscuits & Other Food products,Orange,In Production,30.1,573,338,nikhil.sharma@vedanta.co.in,9568005519,21-Jan-04,Yes,13-Sep-05,No,,,1-Apr-06,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_4,IIE Pantnagar, Udham Singh Nagar,S.P.P.Food Products P Ltd,4,1,13650,13650,13470.6,Company Pvt. Ltd.,Other,Bread Biscuits etc,Green,In Production,3.52,71,65,"spp_rdp@yahoo.co.in,sppfood@gmail.com,0","9319249435,0,0",30-Sep-04,Yes,29-Aug-05,Yes,5-Sep-05,,13-May-06,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_6A,IIE Pantnagar, Udham Singh Nagar,Shree Krishan Vanspati Industries Pvt Ltd,6A,1,20357,-,19166,Company Pvt. Ltd.,Other,Vanaspati & Refined Oil,Orange,Others,1.2,16,-,shreekrishanadel@airtelmail.in,1141563101,20-May-04,Yes,12-Feb-07,No,,Unit Closed,,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_6B,IIE Pantnagar, Udham Singh Nagar,Kavita Agarawal,6B,1,4995,4995,5794.11,Proprietor,Other,Packaging Material,Green,Others,0.48,13,-,-,981163743,20-May-04,Yes,14-Jul-08,Yes,23-Jul-08,Unit Closed,,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_6C,IIE Pantnagar, Udham Singh Nagar,Kavita Agarawal (Oil Mill),6C,1,3105,3105,4006.52,Proprietor,"Rubber, Resins & Plastics","Oil Mill, Plastic Jars and Tins",Orange,Others,0.22,30,-,-,9811637543,20-May-04,Yes,12-Feb-07,Yes,26-Feb-08,Unit Closed,,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_7,IIE Pantnagar, Udham Singh Nagar,TVS Srichakra Limited,7,1,28424,28424,28580.8,Company Public Ltd.,"Rubber, Resins & Plastics",Tyres & Tubes,RED,In Production,61.59,500,350,harish.a@tvstyres.com,8979010738,22-Sep-04,Yes,8-May-09,Yes,12-May-09,,9-Jul-09,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_8,IIE Pantnagar, Udham Singh Nagar,Dukes Products India Limited,8,1,28361.7,28361.7,28982.5,Company Public Ltd.,Other,"Biscuits,Confectionary,Personal Care",Orange,In Production,8.09,374,271,vinodtripathi1988@gmail.com,9410962004,22-Sep-04,Yes,4-Jul-06,Yes,7-Jan-05,,19-Nov-06,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_9,IIE Pantnagar, Udham Singh Nagar,ESCORTS LIMITED RAILWAY EQUIPMENT DIVISION,9,1,28297.6,28325,30525.8,Company Public Ltd.,Other,1-NON ASBESTOS COMPOSITION BRAKE BLOCKS2-COUPLER,Orange,In Production,5.74,51,32,ajay.bahuguna@escort.co.in,"80,570,500,065,944,200,000",22-Sep-04,Yes,19-Oct-05,Yes,30-Nov-04,,31-Mar-16,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_9,IIE Pantnagar, Udham Singh Nagar,-,9,,,,30525.8,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_HOTEL,IIE Pantnagar, Udham Singh Nagar,-,HOTEL,,,,4229.33,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00001_SIIDCUL OFFICE,IIE Pantnagar, Udham Singh Nagar,-,SIIDCUL OFFICE,,,,13501,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_ 6C,IIE Pantnagar, Udham Singh Nagar,-,6C,,,,6165.58,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_1,IIE Pantnagar, Udham Singh Nagar,MURLIWALA AGROTECH,1,2,17599,17599,16997.8,Partnership,Other,1-Amylased Rich Food2-Weaning Foods3-Ready to,Orange,In Production,9.78,87,76,murliwalaagrotech@hotmail.com,9719245075,18-Aug-04,Yes,18-Aug-05,Yes,19-Oct-04,,19-Feb-06,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_10,IIE Pantnagar, Udham Singh Nagar,KUSALAVA INTERNATIONAL LIMITED,10,2,13563.04,13563.04,13438.2,Company Public Ltd.,Auto & Auto Components,Cylinder Liners for Automobile & Centrifugal CAstings,Orange,In Production,2.5,91,70,"vithal@kusalava.com, mmsreddy@kusalava.com",9760020718,1-Apr-05,Yes,7-Oct-05,Yes,7-Oct-05,,7-Jun-06,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_10A,IIE Pantnagar, Udham Singh Nagar,TITAN COMPANY LIMITED,10A,2,20074.27,20074.27,20104.4,Company Public Ltd.,Other,Jewellery and gold,Green,In Production,20,214,185,"anikeshnady@titan.co.in,bhaskarj@titan.co.in",9756707758,12-Dec-11,Yes,29-Dec-11,Yes,10-Jan-12,,28-Mar-12,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_12,IIE Pantnagar, Udham Singh Nagar,Khattri Aromas,12,2,12090,12161.75,12693.5,Proprietor,Other,"Essential Oils & its Isolates, Spice Oil and Botanical Exteacts, Synthetic Essential Oil, Processed Kibbled Maize Etc.",Orange,In Production,5,39,-,khattri.aromas99@gmail.com,9997014848,30-Nov-04,Yes,14-Dec-05,Yes,14-Dec-05,,29-Aug-09,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_12A,IIE Pantnagar, Udham Singh Nagar,KHUSHBU INDUSTRIES,12A,2,12285,12161.748,11978.3,Partnership,Other,Mixture of Odorferous Compunds (Prefumes and Flavours) Essential Oil & Spices Oil,Green,Others,4.85,41,-,khushbuindustry@gmail.com,9839073876,30-Nov-04,Yes,14-Dec-05,Yes,14-Dec-05,Unit Closed,,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_12A,IIE Pantnagar, Udham Singh Nagar,-,12A,,,,11978.3,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_13,IIE Pantnagar, Udham Singh Nagar,SIGNODE INDIA LTD,13,2,10003,9966.198,9475.15,Company Public Ltd.,Other,POLYSTER AND PET STAMPING,Orange,In Production,32,60,40,anil.saklani@signodeindia.com,"97,600,983,019,760,100,000",4-Nov-04,Yes,15-Mar-14,Yes,21-Feb-15,,21-Mar-14,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptn_00002_13A,IIE Pantnagar, Udham Singh Nagar,Radiant Polymers Pvt Ltd,13A,2,14283.43,14283.43,14275.1,Company Pvt. Ltd.,Export Oriented,Plastic Injection Molding,Green,In Production,3.39,1018,739,sanjeev.thakur@radiantindustries.in,9897540705,10-Jun-04,Yes,4-May-05,Yes,21-Sep-04,,13-May-05,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ptn_00002_14,14 A",IIE Pantnagar, Udham Singh Nagar,Interarch Building Product Pvt Ltd,"14,14 A",2,31183,35143,36289.6,Company Pvt. Ltd.,Other,Pre-Engineered & Commercial Building,Orange,In Production,5.70 crore,707,544,bv.sridhar@interarchbuildings.com,9760690305,4-Nov-04,Yes,10-Oct-05,Yes,3-Feb-05,,1-Apr-06,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
